epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10319.1,1.21351,1.25102,1.31666,0.65528,0.49453,0.52369,0.33852,1.37498,1.45027,1.4223,0.007228,0.007228,0.007228
44,10473,1.18059,1.21018,1.29424,0.63007,0.48359,0.51671,0.33575,1.37714,1.47053,1.45974,0.007162,0.007162,0.007162
45,10734.8,1.20752,1.23225,1.29792,0.65034,0.47484,0.52151,0.33944,1.35846,1.4605,1.41428,0.007096,0.007096,0.007096
46,11019.6,1.20678,1.22722,1.30245,0.66542,0.4814,0.52201,0.34718,1.3451,1.43993,1.41551,0.00703,0.00703,0.00703
47,11394,1.17935,1.17835,1.28734,0.66909,0.45733,0.5242,0.34978,1.32082,1.41132,1.40971,0.006964,0.006964,0.006964
48,11737.4,1.2031,1.23819,1.31656,0.65883,0.45213,0.51046,0.33749,1.36485,1.52625,1.42592,0.006898,0.006898,0.006898
49,12758.1,1.18088,1.20131,1.28483,0.65919,0.47921,0.53079,0.34146,1.40166,1.44429,1.44986,0.006832,0.006832,0.006832
50,13029.3,1.17964,1.1772,1.28054,0.65576,0.46389,0.52792,0.34556,1.3852,1.45016,1.44495,0.006766,0.006766,0.006766
51,13140.3,1.19375,1.18271,1.2965,0.73057,0.43326,0.51501,0.33609,1.38986,1.46105,1.4489,0.0067,0.0067,0.0067
52,13250.3,1.13166,1.13255,1.26228,0.65719,0.48796,0.54688,0.35151,1.38257,1.37469,1.44658,0.006634,0.006634,0.006634
53,13360.7,1.13662,1.12869,1.26451,0.72086,0.46389,0.5444,0.35176,1.34595,1.3811,1.43321,0.006568,0.006568,0.006568
54,13471.1,1.14461,1.1215,1.26595,0.72681,0.45989,0.54576,0.36228,1.33533,1.35857,1.4119,0.006502,0.006502,0.006502
55,13609.1,1.12569,1.08922,1.25357,0.68491,0.47702,0.55394,0.36666,1.34326,1.3595,1.42901,0.006436,0.006436,0.006436
56,13719.5,1.15281,1.13189,1.26257,0.67221,0.5186,0.56505,0.36152,1.36636,1.40657,1.40947,0.00637,0.00637,0.00637
57,13873,1.12074,1.072,1.24894,0.62343,0.54048,0.54723,0.37265,1.31746,1.37548,1.38853,0.006304,0.006304,0.006304
58,13984,1.10634,1.073,1.24807,0.63163,0.50985,0.54137,0.35909,1.35055,1.3949,1.41906,0.006238,0.006238,0.006238
