epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9528.59,1.13512,0.49311,0.81286,0.95321,0.92813,0.95103,0.58878,1.11914,0.49411,0.81704,0.000359409,0.000359409,0.000359409
43,9801.15,1.13399,0.49464,0.81431,0.96931,0.92925,0.96474,0.6076,1.10761,0.4926,0.81643,0.000341077,0.000341077,0.000341077
44,10072.5,1.13358,0.489,0.81338,0.94659,0.92552,0.96173,0.6038,1.10883,0.49137,0.81679,0.000322745,0.000322745,0.000322745
45,10344.1,1.12921,0.48965,0.81222,0.94865,0.94384,0.96453,0.60518,1.10548,0.48838,0.81557,0.000304414,0.000304414,0.000304414
46,10622.2,1.1342,0.48536,0.81311,0.95569,0.93639,0.96019,0.60598,1.10275,0.49194,0.81508,0.000286083,0.000286083,0.000286083
47,10845,1.11946,0.47985,0.81008,0.948,0.94799,0.96242,0.60845,1.09878,0.4834,0.81453,0.000267751,0.000267751,0.000267751
48,11064.3,1.11185,0.47916,0.8093,0.95858,0.94612,0.96254,0.6134,1.09113,0.48323,0.81399,0.00024942,0.00024942,0.00024942
49,11282.5,1.12528,0.47982,0.81216,0.96348,0.95066,0.96925,0.61524,1.09803,0.47922,0.81542,0.000231088,0.000231088,0.000231088
50,11504.3,1.10298,0.47157,0.80916,0.948,0.94897,0.96466,0.61914,1.09759,0.47994,0.81457,0.000212757,0.000212757,0.000212757
51,11743.5,1.08942,0.46818,0.82391,0.95584,0.93534,0.96046,0.61312,1.08513,0.47808,0.81472,0.000194425,0.000194425,0.000194425
52,11964.5,1.08494,0.46454,0.8207,0.95645,0.94308,0.96538,0.61271,1.09479,0.4794,0.815,0.000176094,0.000176094,0.000176094
53,12183,1.07731,0.45622,0.81921,0.95642,0.93055,0.96044,0.61592,1.08333,0.47367,0.81435,0.000157762,0.000157762,0.000157762
54,12407.5,1.06849,0.45232,0.82214,0.94958,0.94552,0.96336,0.61129,1.08962,0.47702,0.81373,0.000139431,0.000139431,0.000139431
55,12628.8,1.06768,0.45136,0.81761,0.95455,0.94423,0.96311,0.61114,1.08439,0.47519,0.81333,0.000121099,0.000121099,0.000121099
56,12852.2,1.05219,0.44707,0.81955,0.96672,0.93639,0.96578,0.61601,1.08598,0.47387,0.8132,0.000102768,0.000102768,0.000102768
57,13073.5,1.05884,0.44617,0.81826,0.96563,0.94503,0.9706,0.61994,1.08221,0.47372,0.813,8.4436e-05,8.4436e-05,8.4436e-05
58,13294.5,1.05436,0.44532,0.81832,0.96765,0.94788,0.9715,0.61638,1.08184,0.47179,0.81248,6.61045e-05,6.61045e-05,6.61045e-05
59,13515.3,1.05139,0.44145,0.8222,0.96648,0.9376,0.96835,0.61923,1.08033,0.46861,0.81311,4.7773e-05,4.7773e-05,4.7773e-05
60,13733.8,1.0376,0.43388,0.81755,0.973,0.9475,0.96977,0.62124,1.07942,0.46866,0.81343,2.94415e-05,2.94415e-05,2.94415e-05
